root_id,node_id,title,dominant_ntf_topic,ntf_topic_confidence,ntf_topic_0,ntf_topic_1,ntf_topic_2,ntf_topic_3
root_01,"MORRIS MH, 2002, J MARKET THEORY PRAC",ENTREPRENEURIAL MARKETING: A CONSTRUCT FOR INTEGRATING EMERGING ENTREPRENEURSHIP AND MARKETING PERSPECTIVES,3,0.7514091479851024,0.1298329359623758,0.07699585115649106,0.041762064896030696,0.7514091479851024
root_02,"COLLINSON E, 2001, MANAGEMENT DECISION",ENTREPRENEURIAL MARKETING – A HISTORICAL PERSPECTIVE ON DEVELOPMENT AND PRACTICE,3,0.7825050315418425,0.0,0.17100106461042525,0.04649390384773229,0.7825050315418425
root_03,"STOKES D, 2000, J RES MARKETING ENTR",PUTTING ENTREPRENEURSHIP INTO MARKETING: THE PROCESSES OF ENTREPRENEURIAL MARKETING,3,0.6277935156395683,0.24597274530770058,0.09382189875969181,0.03241184029303915,0.6277935156395683
root_04,"SHANE S, 2000, ACAD MANAGE REV",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,1,0.75624824833203,0.2437516510657024,0.75624824833203,3.660880335974709e-20,1.0060226761085945e-07
root_05,"MILLER D, 1983, MANAGE SCI",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,1,0.5482005196454937,0.4506689084914253,0.5482005196454937,0.001130571863081049,6.114001932349135e-38
root_06,"MATSUNO K, 2002, J MARKETING",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,2,0.9199778070464428,0.08002205467748562,3.67450825988261e-34,0.9199778070464428,1.3827607141595383e-07
root_07,"LUMPKIN GT, 1996, ACAD MANAGE REV",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,2,0.8454342758548444,0.12618421898794818,0.011834541810732369,0.8454342758548444,0.016546963346475024
root_08,"BARNEY J, 1991, J MANAGE",FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,1,0.7248838346142029,0.09047893035661482,0.7248838346142029,0.1149333695659681,0.06970386546321415
root_09,"SARASVATHY SD, 2001, ACAD MANAGE REV",CAUSATION AND EFFECTUATION: TOWARD A THEORETICAL SHIFT FROM ECONOMIC INEVITABILITY TO ENTREPRENEURIAL CONTINGENCY,3,0.7334409170265599,0.0,0.11788974234460411,0.14866934062883597,0.7334409170265599
root_10,"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH",Marketing and entrepreneurship in SMEs : an innovative approach,1,0.4103795030612504,0.2818040788663648,0.4103795030612504,1.1290880787169588e-119,0.30781641807238486
root_11,"READ S, 2009, J MARKETING",MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH,0,0.45024731652292643,0.45024731652292643,1.9864318217985315e-42,0.1988481287661306,0.35090455471094306
root_12,"BJERKE B, 2002, ENTREPRENEURIAL MARK",Entrepreneurial Marketing: The Growth of Small Firms in the New Economic Era,1,0.8412146001167268,0.15878539988181176,0.8412146001167268,1.4613826013192219e-12,7.049963809466915e-24
root_13,"NARVER JC, 1990, J MARKETING",THE EFFECT OF A MARKET ORIENTATION ON BUSINESS PROFITABILITY,2,0.8637408544606296,0.12159314165873353,7.845329563507454e-66,0.8637408544606296,0.014666003880636883
root_14,"KOHLI AK, 1990, J MARKETING","MARKET ORIENTATION: THE CONSTRUCT, RESEARCH PROPOSITIONS, AND MANAGERIAL IMPLICATIONS",2,0.6072472351352225,0.23846784778870872,0.009198419402672986,0.6072472351352225,0.14508649767339582
root_15,"HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",ACADEMIC ROOTS: THE PAST AND PRESENT OF ENTREPRENEURIAL MARKETING,1,0.5932101408286579,0.20322579481411465,0.5932101408286579,1.1245716365510472e-11,0.20356406434598184
root_16,"GILMORE A, 2011, J RES MARK ENTREP",ENTREPRENEURIAL AND SME MARKETING,3,0.5664710116228348,0.43352898837716514,8.246447966859907e-24,2.6957686448192994e-36,0.5664710116228348
root_17,"HANSEN DJ, 2010, J RES MARK ENTREP",THE MARKETING/ENTREPRENEURSHIP INTERFACE: A REPORT ON THE “CHARLESTON SUMMIT”,0,0.41325147408731644,0.41325147408731644,0.2149523768298332,2.704131880879569e-26,0.37179614908285047
root_18,"BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",THE EFFECT OF ENTREPRENEURIAL MARKETING ON OUTCOME GOALS IN SMES,3,0.6601871075168148,0.1774701775401982,0.16233342638058892,9.288562398020616e-06,0.6601871075168148
root_19,"ALQAHTANI N, 2022, J STRATEG MARK","ENTREPRENEURIAL MARKETING AND FIRM PERFORMANCE: SCALE DEVELOPMENT, VALIDATION, AND EMPIRICAL TEST",2,0.5277268247334423,0.14814224661153982,0.3241309286550177,0.5277268247334423,2.382303524765005e-78
